que,ans
What is General Guidelines for All FDC Schemes?,"General Guidelines for All FDC Schemes
General Guidelines Applicable to all Faculty Development Schemes of AICTE.
For More Information : <a href = 'https://www.aicte-india.org/sites/default/files/guidlines%20upload%20website.pdf'>General Guidelines</a>"
What is AICTE STTP-SFURTI?,"AICTE STTP-SFURTI
STTP-SFURTI intends to conduct faculty and student trainings through financial assistance from AICTE to enable faculty members and students in the field of technical education to introspect and learn techniques that can help prepare faculty and students to impart there research work in the development of small-scale business for the nation.
For More Information : <a href = 'https://www.aicte-india.org/sites/default/files/sfurti/STTP_SFURTIschemedocamndedon10dec2021.pdf'>Scheme Documents</a>"
What is AICTE- NATIONAL INITIATIVE FOR TECHNICAL TEACHERS TRAINING (AICTE - NITTT)?,"AICTE- NATIONAL INITIATIVE FOR TECHNICAL TEACHERS TRAINING (AICTE - NITTT)
In order to train the Inductee Teachers in AICTE approved / recognised institutions, National Initiative for Technical Teachers Training (for Inductee Teachers) has been launched. It imparts training to the Inductee Teachers in three phases. The first phase of the training programme for the Inductee Teachers shall be conducted in Massive Open Online Courses (MOOCs) mode for eight modules on the SWAYAM platform through the NITTT portal www.nittt.ac.in followed by one-month industrial internship (second phase) and then mentor based training (third phase).
For More Information : <a href = 'https://www.aicte-india.org/sites/default/files/NITTT%20Scheme%20document.pdf'>Scheme Document</a>"
What is AICTE-Quality Improvement program?,"AICTE-Quality Improvement program
The Government of India launched the Quality Improvement Programme in the year 1970. One of the main objectives of the programme is to upgrade the expertise and capabilities of the faculty members of the degree level institutions in the country..
For More Information : <a href = 'https://www.aicte-india.org/sites/default/files/fdc/QIPguidelines.pdf'>Scheme Document</a>"
What is AICTE-RESEARCH PROMOTION SCHEME (RPS)?,"AICTE-RESEARCH PROMOTION SCHEME (RPS)
This scheme Promotes Research in identified thrust areas of in Technical Education. RPS is aimed to create research ambience in the institutes by promoting research in engineering sciences and innovations in established and newer technologies; and to generate Master’s and Doctoral degree candidates to augment the quality of faculty and research. The limit of funding is Rs 25 Lakh for project duration of 3 years.
For More Information : <a href = 'https://www.aicte-india.org/sites/default/files/fdc/RPSSchemeDocument_Nov2020.pdf'>Scheme Document</a>"
What is AICTE-Quality Improvement Programme (FOREIGN UNIVERSITY)?,"AICTE-Quality Improvement Programme (FOREIGN UNIVERSITY)
Scheme provides scholarships to the faculty who fulfils eligibility criteria and obtains admission in the Doctoral Degree programme leading to award of PhD degree in any of the enlisted top 500 universities/institutes (based on the QS ranking, the Times ranking and the Shanghai ranking) in the world.
For More Information : <a href = 'https://www.aicte-india.org/sites/default/files/fds/QIPForeignschemedocument(1).pdf'>Scheme Document</a>"
What is AICTE-FACULTY DEVELOPMENT PROGRAMME (FDP)?,"AICTE-FACULTY DEVELOPMENT PROGRAMME (FDP)
The scheme is intended to Institutions   for   induction training to   teachers employed in AICTE approved Technical Institutions to facilitate up-gradation of knowledge and skill. Rs 5-7 Lakh are granted for the 2 weeks FDP.
For More Information : <a href = 'https://www.aicte-india.org/sites/default/files/SchemeDocumentFDP.pdf'>Scheme Document</a>"
"What is AICTE-Short Term Training Programme (STTP) (UT-J&K,Ladakh and NER)?","AICTE-Short Term Training Programme (STTP) (UT-J&K,Ladakh and NER)
Short Term Training Program (STTP) intends to conduct faculty trainings through financial assistance from AICTE to enable faculty members in the field of technical education to introspect and learn techniques that can help prepare students for active and successful participants in a knowledge society.
For More Information : <a href = 'https://www.aicte-india.org/sites/default/files/fdc/STTPSchemeDocumentNERandJ&K2020-21.pdf'>Scheme Document</a>"
What is AICTE-TRAINING PROGRAMS FOR PHYSICAL EDUCATION TRAINERS/SPORT-GAMES TEACHERS/DIRECTOR OF SPORTS?,"AICTE-TRAINING PROGRAMS FOR PHYSICAL EDUCATION TRAINERS/SPORT-GAMES TEACHERS/DIRECTOR OF SPORTS
To Develop the skill of the participants to involve the masses in traditional sports/games and fun games for physical activity through recreation.
For More Information : <a href = 'https://aicte-india.org/sites/default/files/SchemeDocumentSpprtTeacherProgramme.pdf'>Scheme Document</a>"
What is AICTE- TECHNICAL UNIVERSITY JOINT TRAINING PROGRAMS FOR TEACHERS?,"AICTE- TECHNICAL UNIVERSITY JOINT TRAINING PROGRAMS FOR TEACHERS
The objective of the AICTE – University training programs is to conduct training for faculty members to prepare them for being successful in a knowledge society.
For More Information : <a href = 'https://aicte-india.org/sites/default/files/fds/Scheme%20Document%20TU%20teach-converted.pdf'>Scheme Document</a>"
